district,week,week_of_year,year,month,cholera_cases,typhoid_cases,add_cases,total_wb_cases,latitude,longitude,rainfall_mm,rainfall_anomaly_pct,temperature_c,humidity_pct,monsoon_flag,flood_alert,region,sanitation_coverage_pct,od_index,water_access_pct,population_density,urban_pct,wash_index,wash_risk_category,population_2024
Mumbai City,07-01-2019,2,2019,1,0,3,14,20,18.94,72.835,2.17,-12.96,21.9,62.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,14-01-2019,3,2019,1,2,1,17,21,18.94,72.835,1.49,-39.07,24.8,61.4,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,21-01-2019,4,2019,1,1,2,24,29,18.94,72.835,1.41,-42.06,22.6,58,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,28-01-2019,5,2019,1,1,0,24,25,18.94,72.835,3.45,36.27,23.1,64.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,04-02-2019,6,2019,2,1,1,16,20,18.94,72.835,1.72,13.57,21.6,57.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,11-02-2019,7,2019,2,0,6,15,22,18.94,72.835,1.55,3.08,24.5,62.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,18-02-2019,8,2019,2,0,2,20,23,18.94,72.835,2.69,74.23,22.6,59.7,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,25-02-2019,9,2019,2,2,0,24,28,18.94,72.835,1.37,-8.15,20.4,67.2,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,04-03-2019,10,2019,3,0,2,17,20,18.94,72.835,2.02,0.98,23.1,72.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,11-03-2019,11,2019,3,1,2,22,28,18.94,72.835,1.84,-7.81,25,64.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,18-03-2019,12,2019,3,0,0,13,15,18.94,72.835,2.86,40.67,24.4,67.6,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,25-03-2019,13,2019,3,1,2,12,17,18.94,72.835,1.9,-4.71,24.3,63.1,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,01-04-2019,14,2019,4,3,6,34,44,18.94,72.835,2.06,-30.32,23.8,32.3,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,08-04-2019,15,2019,4,1,2,48,53,18.94,72.835,3.57,18.39,25.7,39.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,15-04-2019,16,2019,4,2,3,37,42,18.94,72.835,5.03,65.33,24.2,41.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,22-04-2019,17,2019,4,0,5,38,45,18.94,72.835,2.13,-28.15,25.1,29.1,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,29-04-2019,18,2019,4,2,3,38,44,18.94,72.835,2.61,-12.67,23.3,35.1,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,06-05-2019,19,2019,5,1,4,43,52,18.94,72.835,4.9,-18.09,25.1,31.8,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,13-05-2019,20,2019,5,0,10,37,47,18.94,72.835,5.57,-7.21,26.6,40.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,20-05-2019,21,2019,5,1,4,39,47,18.94,72.835,4.13,-30.76,25.8,36.5,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,27-05-2019,22,2019,5,2,4,44,53,18.94,72.835,6.75,12.24,28.4,33.9,0,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,03-06-2019,23,2019,6,2,0,72,77,18.94,72.835,47.43,-33.21,25.8,88.9,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,10-06-2019,24,2019,6,5,3,70,80,18.94,72.835,89.89,26.45,25.9,88.8,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,17-06-2019,25,2019,6,2,7,69,84,18.94,72.835,115.76,62.8,28.8,94.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,24-06-2019,26,2019,6,1,4,65,73,18.94,72.835,106.19,49.35,27.3,87.2,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,01-07-2019,27,2019,7,0,6,76,82,18.94,72.835,154.78,8.51,28,92.5,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,08-07-2019,28,2019,7,0,5,62,72,18.94,72.835,185.41,29.97,28.1,78.7,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,15-07-2019,29,2019,7,2,1,57,63,18.94,72.835,177.52,24.45,25.3,86.7,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,22-07-2019,30,2019,7,2,4,65,74,18.94,72.835,158.22,10.92,26.4,84,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,29-07-2019,31,2019,7,1,6,86,96,18.94,72.835,201.73,41.41,27.5,94.1,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,05-08-2019,32,2019,8,0,2,64,68,18.94,72.835,131.86,0.95,26.9,99,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,12-08-2019,33,2019,8,5,5,76,92,18.94,72.835,130.57,-0.04,25.1,92.3,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,19-08-2019,34,2019,8,3,0,82,90,18.94,72.835,190.5,45.81,28.4,93.4,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,26-08-2019,35,2019,8,5,2,67,75,18.94,72.835,105.3,-19.37,27.8,90.5,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,02-09-2019,36,2019,9,2,2,77,81,18.94,72.835,135.13,36.33,26.7,93.2,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,09-09-2019,37,2019,9,6,2,70,80,18.94,72.835,128.61,29.76,27.3,85.6,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
Mumbai City,16-09-2019,38,2019,9,1,1,72,78,18.94,72.835,139.7,40.94,26.7,89.4,1,0,coastal,98.2,0.02,99.1,21000,100,0.9852,Low,3100000
