district,date,cholera_cases,typhoid_cases,add_cases,rainfall_mm,rainfall_anomaly_pct,temperature_c,humidity_pct,monsoon_flag,state,latitude,longitude,population_2024,population_density,urban_pct,sanitation_coverage_pct,urban_sanitation_pct,rural_sanitation_pct,od_index,od_pct,water_access_pct,piped_water_pct,unprotected_water_src_pct,wash_index,children_u5_diarrhea_pct,stunting_u5_pct,anemia_women_pct,phc_coverage_pct,asha_per_1000,wash_risk_category,data_source,survey_year,week_of_year,month,season_sin,season_cos,cholera_cases_lag1,cholera_cases_lag2,cholera_cases_lag4,cholera_cases_lag8,typhoid_cases_lag1,typhoid_cases_lag2,typhoid_cases_lag4,typhoid_cases_lag8,add_cases_lag1,add_cases_lag2,add_cases_lag4,add_cases_lag8,rainfall_mm_lag1,rainfall_mm_lag2,rainfall_mm_lag4,rainfall_mm_lag8,rainfall_anomaly_pct_lag1,rainfall_anomaly_pct_lag2,rainfall_anomaly_pct_lag4,rainfall_anomaly_pct_lag8,cholera_cases_roll4_mean,cholera_cases_roll4_std,cholera_cases_roll8_mean,cholera_cases_roll8_std,typhoid_cases_roll4_mean,typhoid_cases_roll4_std,typhoid_cases_roll8_mean,typhoid_cases_roll8_std,add_cases_roll4_mean,add_cases_roll4_std,add_cases_roll8_mean,add_cases_roll8_std,rainfall_mm_roll4_mean,rainfall_mm_roll4_std,rainfall_mm_roll8_mean,rainfall_mm_roll8_std,rainfall_anomaly_pct_roll4_mean,rainfall_anomaly_pct_roll4_std,rainfall_anomaly_pct_roll8_mean,rainfall_anomaly_pct_roll8_std,cholera_outbreak_label,cholera_risk_score,typhoid_outbreak_label,typhoid_risk_score,add_outbreak_label,add_risk_score
Ahmednagar,2019-02-25,1,7,51,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,9,2,0.8854560256532099,0.4647231720437686,0.0,0.0,0.0,0.0,11.0,9.0,12.0,7.0,70.0,57.0,50.0,48.0,,,,,,,,,0.25,0.5,0.625,1.0606601717798212,8.75,1.7078251276599332,9.875,1.8850918886280923,52.5,15.800843859321775,52.875,12.449182417216917,,0.0,41.49,0.0,,0.0,238.99252523945123,0.0,1,0.24999993750001562,0,0.2916666545138894,0,0.22767857041214923
Ahmednagar,2019-03-04,0,12,57,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,10,3,0.9350162426854148,0.35460488704253557,1.0,0.0,0.0,1.0,7.0,11.0,8.0,12.0,51.0,70.0,32.0,68.0,,,,41.49,,,,238.99252523945123,0.25,0.5,0.5,1.0690449676496976,9.75,2.217355782608345,9.875,1.885091888628092,58.75,8.015609770940697,51.5,11.071198154284321,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.4999999791666675,0,0.25446428457828446
Ahmednagar,2019-03-11,0,6,50,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,11,3,0.970941817426052,0.23931566428755804,0.0,1.0,0.0,0.0,12.0,7.0,9.0,9.0,57.0,51.0,57.0,52.0,,,,,,,,,0.25,0.5,0.5,1.0690449676496976,9.0,2.943920288775949,9.5,2.3299294900428698,57.0,9.201449161228174,51.25,11.080871549012482,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.24999998958333375,0,0.22321428471779337
Ahmednagar,2019-03-18,0,10,37,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,12,3,0.992708874098054,0.120536680255323,0.0,0.0,0.0,3.0,6.0,12.0,11.0,11.0,50.0,57.0,70.0,43.0,,,,,,,,,0.25,0.5,0.125,0.35355339059327373,8.75,2.753785273643051,9.375,2.263846284534354,48.75,8.421203397773185,50.5,11.892374507581378,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.41666664930555625,0,0.1651785706911671
Ahmednagar,2019-03-25,1,7,70,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,13,3,1.0,-1.6081226496766366e-16,0.0,0.0,1.0,0.0,10.0,6.0,7.0,12.0,37.0,50.0,51.0,50.0,,,,,,,,,0.25,0.5,0.25,0.46291004988627565,8.75,2.753785273643051,8.75,2.1213203435596424,53.5,13.771952173409064,53.0,13.732131246511905,,0.0,,0.0,,0.0,,0.0,1,0.24999993750001562,0,0.2916666545138894,0,0.31249999860491073
Ahmednagar,2019-04-01,0,10,104,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,14,4,0.992708874098054,-0.12053668025532288,1.0,0.0,0.0,0.0,7.0,10.0,12.0,8.0,70.0,37.0,57.0,32.0,,,,,,,,,0.25,0.5,0.25,0.46291004988627565,8.25,2.0615528128088303,9.0,2.1380899352993947,65.25,29.181900783419394,62.0,20.11396103634062,,0.0,,0.0,,0.0,,0.0,0,0.0,0,0.41666664930555625,0,0.46428571221301024
Ahmednagar,2019-04-08,2,10,102,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,15,4,0.9709418174260521,-0.2393156642875575,0.0,1.0,0.0,0.0,10.0,7.0,6.0,9.0,104.0,70.0,50.0,57.0,,,,,,,,,0.75,0.9574271077563381,0.5,0.7559289460184544,9.25,1.5,9.125,2.167124493754009,78.25,31.605642956071417,67.625,24.360022871206716,,0.0,,0.0,,0.0,,0.0,1,0.49999987500003124,0,0.41666664930555625,0,0.45535714082429846
Ahmednagar,2019-04-15,0,18,107,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,16,4,0.9350162426854148,-0.35460488704253545,2.0,0.0,0.0,0.0,10.0,10.0,10.0,11.0,102.0,104.0,37.0,70.0,,,,,,,,,0.75,0.9574271077563381,0.5,0.7559289460184544,11.25,4.716990566028302,10.0,3.8172540616821102,95.75,17.289206652321177,72.25,28.100584640588124,,0.0,,0.0,,0.0,,0.0,0,0.0,1,0.7499999687500013,0,0.4776785692960778
Ahmednagar,2019-04-22,0,23,92,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,17,4,0.8854560256532099,-0.4647231720437685,0.0,2.0,1.0,1.0,18.0,10.0,7.0,7.0,107.0,102.0,70.0,51.0,,,,,,,,,0.5,1.0,0.375,0.7440238091428449,15.25,6.396613687465163,12.0,5.732115042211108,101.25,6.500000000000012,77.375,27.401446781407103,,0.0,,0.0,,0.0,,0.0,0,0.0,1,0.9583332934027794,0,0.4107142838807398
Ahmednagar,2019-04-29,1,18,101,,,,,,Maharashtra,19.095,74.738,4540000,0.008267622461170849,0.25316455696202533,0.37875751503006017,83.3,54.1,0.62,33.0,0.37817258883248717,79.6,25.4,0.3787720415450189,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21,18,4,0.8229838658936565,-0.5680647467311557,0.0,0.0,0.0,0.0,23.0,18.0,10.0,12.0,92.0,107.0,104.0,57.0,,,,,,,,,0.75,0.9574271077563381,0.5,0.7559289460184544,17.25,5.377421934967226,12.75,6.112048990080401,100.5,6.244997998398412,82.875,27.142152246486067,,0.0,,0.0,,0.0,,0.0,1,0.24999993750001562,1,0.7499999687500013,0,0.4508928551299426
