district,date,cholera_cases,typhoid_cases,add_cases,rainfall_mm,rainfall_anomaly_pct,temperature_c,humidity_pct,monsoon_flag,sanitation_coverage_pct,od_index,water_access_pct,population_density,urban_pct,wash_index,week_of_year,month
Ahmednagar,2022-01-03,3,5,19,41.63983565744372,-3.0657422270058783,8.726545522320585,42.92810992949465,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,1,1
Ahmednagar,2022-01-10,2,6,5,22.653870668626485,5.068080189166481,8.687086385461676,47.03477788890905,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,2,1
Ahmednagar,2022-01-17,4,7,7,18.842338126294248,-14.177684830656132,10.352701334334402,50.771588701036386,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,3,1
Ahmednagar,2022-01-24,1,5,9,15.266741905870092,-7.256184877506775,9.600473939611412,37.3735765859428,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,4,1
Ahmednagar,2022-01-31,1,3,12,27.700219908959703,-3.970110122958146,7.2797037459267155,42.68017595613286,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,5,1
Ahmednagar,2022-02-07,2,2,7,29.467521020073676,2.692328900921232,15.191594406710198,40.493222907390006,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,6,2
Ahmednagar,2022-02-14,3,2,12,18.448994606993164,-5.36042818952227,16.811383245612554,39.905467315631824,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,7,2
Ahmednagar,2022-02-21,2,3,20,31.09187575735034,3.5959645428368785,15.360592152159612,33.19875489546739,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,8,2
Ahmednagar,2022-02-28,3,1,13,31.849839904909203,-4.851653116962199,12.257579904333232,39.64568995418675,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,9,2
Ahmednagar,2022-03-07,3,3,8,23.48838763569242,4.430848113194526,20.147902607357768,36.07707881908901,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,10,3
Ahmednagar,2022-03-14,0,5,12,17.419526734290937,10.975824547543823,21.292232909893343,40.1476279349102,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,11,3
Ahmednagar,2022-03-21,0,3,9,13.119485048057626,9.651520033405559,19.485527148343735,39.82788944477008,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,12,3
Ahmednagar,2022-03-28,1,4,12,34.99220744561298,2.0102689621612733,21.234574644992136,41.85592965308713,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,13,3
Ahmednagar,2022-04-04,2,6,9,30.17903815182521,-9.453806240931128,29.56145674623582,45.73886700298709,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,14,4
Ahmednagar,2022-04-11,0,9,8,23.292635844098587,-14.197710467742473,27.321348644235893,35.84807237978161,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,15,4
Ahmednagar,2022-04-18,1,13,7,18.92200864646357,7.717204779815932,28.779518430215635,40.117551080172376,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,16,4
Ahmednagar,2022-04-25,6,6,11,20.016024602480375,-4.882116645955765,25.769119360239173,35.06533748343187,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,17,4
Ahmednagar,2022-05-02,2,6,10,17.48504375391552,-8.406610322876336,29.77103563706997,41.686177392620735,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,18,5
Ahmednagar,2022-05-09,2,5,16,21.24705068837588,-15.965215234614911,33.993316812298104,45.24460640271318,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,19,5
Ahmednagar,2022-05-16,1,8,11,32.860846842143104,-15.392106175145166,27.69675288215208,47.433100196371775,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,20,5
Ahmednagar,2022-05-23,0,4,10,10.073373427717597,0.5401544115475644,31.704561344028505,35.82358534369709,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,21,5
Ahmednagar,2022-05-30,4,9,13,28.05791596308854,-7.871029985946293,32.21758616462522,50.27446460556564,0,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,22,5
Ahmednagar,2022-06-06,9,13,41,92.04273797291157,6.961278142297212,30.442385518441938,79.01330233211348,1,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,23,6
Ahmednagar,2022-06-13,9,9,35,81.74227818166665,-11.840651513125367,28.50319813547335,90.20769392158472,1,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,24,6
Ahmednagar,2022-06-20,6,9,44,107.28836922116797,-2.2714519733486815,35.85174540113689,85.02587778183569,1,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,25,6
Ahmednagar,2022-06-27,6,14,29,76.87674507025213,-45.457815237542015,31.229377469141156,75.7853559932613,1,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,26,6
Ahmednagar,2022-07-04,8,12,38,100.2554020839024,-17.100331668280784,29.667042757673777,76.80142546406464,1,0.4527777777777778,0.5931485322071279,0.5160727327662687,210.457035206951,0.38333333333333336,0.468910497776193,27,7
