district,week,week_of_year,year,month,cholera_cases,typhoid_cases,add_cases,total_wb_cases,latitude,longitude
Mumbai City,07-01-2019,2,2019,1,0,3,14,20,18.94,72.835
Mumbai City,14-01-2019,3,2019,1,2,1,17,21,18.94,72.835
Mumbai City,21-01-2019,4,2019,1,1,2,24,29,18.94,72.835
Mumbai City,28-01-2019,5,2019,1,1,0,24,25,18.94,72.835
Mumbai City,04-02-2019,6,2019,2,1,1,16,20,18.94,72.835
Mumbai City,11-02-2019,7,2019,2,0,6,15,22,18.94,72.835
Mumbai City,18-02-2019,8,2019,2,0,2,20,23,18.94,72.835
Mumbai City,25-02-2019,9,2019,2,2,0,24,28,18.94,72.835
Mumbai City,04-03-2019,10,2019,3,0,2,17,20,18.94,72.835
Mumbai City,11-03-2019,11,2019,3,1,2,22,28,18.94,72.835
Mumbai City,18-03-2019,12,2019,3,0,0,13,15,18.94,72.835
Mumbai City,25-03-2019,13,2019,3,1,2,12,17,18.94,72.835
Mumbai City,01-04-2019,14,2019,4,3,6,34,44,18.94,72.835
Mumbai City,08-04-2019,15,2019,4,1,2,48,53,18.94,72.835
Mumbai City,15-04-2019,16,2019,4,2,3,37,42,18.94,72.835
Mumbai City,22-04-2019,17,2019,4,0,5,38,45,18.94,72.835
Mumbai City,29-04-2019,18,2019,4,2,3,38,44,18.94,72.835
Mumbai City,06-05-2019,19,2019,5,1,4,43,52,18.94,72.835
Mumbai City,13-05-2019,20,2019,5,0,10,37,47,18.94,72.835
Mumbai City,20-05-2019,21,2019,5,1,4,39,47,18.94,72.835
Mumbai City,27-05-2019,22,2019,5,2,4,44,53,18.94,72.835
Mumbai City,03-06-2019,23,2019,6,2,0,72,77,18.94,72.835
Mumbai City,10-06-2019,24,2019,6,5,3,70,80,18.94,72.835
Mumbai City,17-06-2019,25,2019,6,2,7,69,84,18.94,72.835
Mumbai City,24-06-2019,26,2019,6,1,4,65,73,18.94,72.835
Mumbai City,01-07-2019,27,2019,7,0,6,76,82,18.94,72.835
Mumbai City,08-07-2019,28,2019,7,0,5,62,72,18.94,72.835
Mumbai City,15-07-2019,29,2019,7,2,1,57,63,18.94,72.835
Mumbai City,22-07-2019,30,2019,7,2,4,65,74,18.94,72.835
Mumbai City,29-07-2019,31,2019,7,1,6,86,96,18.94,72.835
Mumbai City,05-08-2019,32,2019,8,0,2,64,68,18.94,72.835
Mumbai City,12-08-2019,33,2019,8,5,5,76,92,18.94,72.835
Mumbai City,19-08-2019,34,2019,8,3,0,82,90,18.94,72.835
Mumbai City,26-08-2019,35,2019,8,5,2,67,75,18.94,72.835
Mumbai City,02-09-2019,36,2019,9,2,2,77,81,18.94,72.835
Mumbai City,09-09-2019,37,2019,9,6,2,70,80,18.94,72.835
Mumbai City,16-09-2019,38,2019,9,1,1,72,78,18.94,72.835
Mumbai City,23-09-2019,39,2019,9,1,3,69,77,18.94,72.835
Mumbai City,30-09-2019,40,2019,9,4,2,65,75,18.94,72.835
Mumbai City,07-10-2019,41,2019,10,2,8,21,35,18.94,72.835
Mumbai City,14-10-2019,42,2019,10,1,0,28,32,18.94,72.835
Mumbai City,21-10-2019,43,2019,10,0,4,25,32,18.94,72.835
Mumbai City,28-10-2019,44,2019,10,2,2,29,34,18.94,72.835
Mumbai City,04-11-2019,45,2019,11,0,2,26,30,18.94,72.835
Mumbai City,11-11-2019,46,2019,11,0,3,37,41,18.94,72.835
Mumbai City,18-11-2019,47,2019,11,2,2,20,25,18.94,72.835
Mumbai City,25-11-2019,48,2019,11,1,4,22,28,18.94,72.835
Mumbai City,02-12-2019,49,2019,12,0,1,19,22,18.94,72.835
Mumbai City,09-12-2019,50,2019,12,0,2,11,15,18.94,72.835
Mumbai City,16-12-2019,51,2019,12,0,3,19,22,18.94,72.835
Mumbai City,23-12-2019,52,2019,12,0,4,19,24,18.94,72.835
Mumbai City,30-12-2019,1,2019,12,0,0,17,18,18.94,72.835
Mumbai City,06-01-2020,2,2020,1,2,2,20,26,18.94,72.835
Mumbai City,13-01-2020,3,2020,1,0,3,16,20,18.94,72.835
