district,date,week,year,month,rainfall_mm,rainfall_anomaly_pct,temperature_c,humidity_pct,monsoon_flag,flood_alert,region
Mumbai City,2019-01-07,2,2019,1,2.17,-12.96,21.9,62.2,0,0,coastal
Mumbai City,2019-01-14,3,2019,1,1.49,-39.07,24.8,61.4,0,0,coastal
Mumbai City,2019-01-21,4,2019,1,1.41,-42.06,22.6,58.0,0,0,coastal
Mumbai City,2019-01-28,5,2019,1,3.45,36.27,23.1,64.2,0,0,coastal
Mumbai City,2019-02-04,6,2019,2,1.72,13.57,21.6,57.3,0,0,coastal
Mumbai City,2019-02-11,7,2019,2,1.55,3.08,24.5,62.3,0,0,coastal
Mumbai City,2019-02-18,8,2019,2,2.69,74.23,22.6,59.7,0,0,coastal
Mumbai City,2019-02-25,9,2019,2,1.37,-8.15,20.4,67.2,0,0,coastal
Mumbai City,2019-03-04,10,2019,3,2.02,0.98,23.1,72.8,0,0,coastal
Mumbai City,2019-03-11,11,2019,3,1.84,-7.81,25.0,64.3,0,0,coastal
Mumbai City,2019-03-18,12,2019,3,2.86,40.67,24.4,67.6,0,0,coastal
Mumbai City,2019-03-25,13,2019,3,1.9,-4.71,24.3,63.1,0,0,coastal
Mumbai City,2019-04-01,14,2019,4,2.06,-30.32,23.8,32.3,0,0,coastal
Mumbai City,2019-04-08,15,2019,4,3.57,18.39,25.7,39.9,0,0,coastal
Mumbai City,2019-04-15,16,2019,4,5.03,65.33,24.2,41.9,0,0,coastal
Mumbai City,2019-04-22,17,2019,4,2.13,-28.15,25.1,29.1,0,0,coastal
Mumbai City,2019-04-29,18,2019,4,2.61,-12.67,23.3,35.1,0,0,coastal
Mumbai City,2019-05-06,19,2019,5,4.9,-18.09,25.1,31.8,0,0,coastal
Mumbai City,2019-05-13,20,2019,5,5.57,-7.21,26.6,40.9,0,0,coastal
Mumbai City,2019-05-20,21,2019,5,4.13,-30.76,25.8,36.5,0,0,coastal
Mumbai City,2019-05-27,22,2019,5,6.75,12.24,28.4,33.9,0,0,coastal
Mumbai City,2019-06-03,23,2019,6,47.43,-33.21,25.8,88.9,1,0,coastal
Mumbai City,2019-06-10,24,2019,6,89.89,26.45,25.9,88.8,1,0,coastal
Mumbai City,2019-06-17,25,2019,6,115.76,62.8,28.8,94.6,1,0,coastal
Mumbai City,2019-06-24,26,2019,6,106.19,49.35,27.3,87.2,1,0,coastal
Mumbai City,2019-07-01,27,2019,7,154.78,8.51,28.0,92.5,1,0,coastal
Mumbai City,2019-07-08,28,2019,7,185.41,29.97,28.1,78.7,1,0,coastal
Mumbai City,2019-07-15,29,2019,7,177.52,24.45,25.3,86.7,1,0,coastal
Mumbai City,2019-07-22,30,2019,7,158.22,10.92,26.4,84.0,1,0,coastal
Mumbai City,2019-07-29,31,2019,7,201.73,41.41,27.5,94.1,1,0,coastal
