district,state,latitude,longitude,population_2024,population_density,urban_pct,sanitation_coverage_pct,urban_sanitation_pct,rural_sanitation_pct,od_index,od_pct,water_access_pct,piped_water_pct,unprotected_water_src_pct,wash_index,children_u5_diarrhea_pct,stunting_u5_pct,anemia_women_pct,phc_coverage_pct,asha_per_1000,wash_risk_category,data_source,survey_year
Mumbai City,Maharashtra,18.94,72.835,3100000,21000,100.0,98.2,99.0,79.3,0.02,2.0,99.1,99.0,0.9,0.9852,8.6,23.7,37.1,85.1,1.29,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Mumbai Suburban,Maharashtra,19.12,72.87,9400000,18200,99.0,95.8,99.0,78.5,0.04,4.0,97.8,99.0,2.2,0.9664,5.0,22.1,42.2,92.2,1.12,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Thane,Maharashtra,19.218,73.058,11100000,1100,87.0,89.3,99.0,77.3,0.11,11.0,93.4,98.4,6.6,0.9088,11.0,19.8,45.0,87.9,1.11,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Palghar,Maharashtra,19.697,72.765,2990000,410,38.0,60.4,80.4,47.9,0.39,39.0,74.2,79.2,25.8,0.6604,15.5,33.8,47.6,77.2,1.11,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Raigad,Maharashtra,18.519,73.184,2640000,310,52.0,72.1,90.4,61.7,0.28,28.0,80.3,85.3,19.7,0.7536,14.5,28.7,48.2,79.2,1.21,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Ratnagiri,Maharashtra,17.0,73.317,1620000,168,40.0,75.6,94.7,65.1,0.24,24.0,82.1,87.1,17.9,0.7828,11.3,22.2,41.4,83.5,1.13,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Sindhudurg,Maharashtra,16.35,73.967,870000,112,37.0,80.2,99.0,63.3,0.2,20.0,87.4,92.4,12.6,0.8304,12.9,21.6,46.8,84.3,1.21,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Nashik,Maharashtra,20.011,73.79,6110000,420,52.0,69.3,88.4,57.9,0.31,31.0,76.8,81.8,23.2,0.7224,12.7,28.1,40.9,82.0,1.03,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Dhule,Maharashtra,20.899,74.777,2050000,338,48.0,62.4,81.1,46.9,0.38,38.0,70.1,75.1,29.9,0.654,17.1,28.1,49.7,79.7,1.18,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Nandurbar,Maharashtra,21.371,74.248,1650000,315,30.0,48.7,64.7,36.5,0.52,52.0,61.3,66.3,38.7,0.536,16.5,32.0,50.1,70.9,1.05,High,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Jalgaon,Maharashtra,21.004,75.562,4230000,367,51.0,66.8,84.7,47.9,0.33,33.0,73.9,78.9,26.1,0.6968,10.4,24.9,48.4,80.5,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Ahmednagar,Maharashtra,19.095,74.738,4540000,248,41.0,67.2,83.3,54.1,0.33,33.0,74.6,79.6,25.4,0.7012,11.2,30.6,46.6,73.9,1.07,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Pune,Maharashtra,18.52,73.857,9429000,602,72.0,85.4,99.0,71.8,0.15,15.0,91.2,96.2,8.8,0.8764,11.4,25.6,44.2,80.5,1.16,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Satara,Maharashtra,17.687,74.033,3003000,191,36.0,77.3,94.6,62.7,0.23,23.0,84.1,89.1,15.9,0.7996,10.1,29.5,48.3,85.8,1.07,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Sangli,Maharashtra,16.855,74.567,2820000,262,44.0,76.9,96.1,65.4,0.23,23.0,83.8,88.8,16.2,0.7968,11.7,28.1,44.4,81.8,1.17,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Solapur,Maharashtra,17.687,75.927,4320000,228,56.0,72.8,89.5,61.7,0.27,27.0,79.6,84.6,20.4,0.7556,10.9,23.3,47.1,84.6,1.09,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Kolhapur,Maharashtra,16.7,74.233,3880000,286,45.0,83.1,99.0,67.8,0.17,17.0,89.4,94.4,10.6,0.856,11.9,25.1,43.1,88.6,1.15,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Aurangabad,Maharashtra,19.877,75.329,3701000,316,55.0,65.4,81.7,48.4,0.35,35.0,72.3,77.3,27.7,0.6808,13.5,27.9,46.2,76.6,1.18,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Jalna,Maharashtra,19.834,75.883,1960000,273,38.0,58.3,73.3,44.3,0.42,42.0,66.1,71.1,33.9,0.6136,16.7,30.9,52.1,80.0,1.01,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Beed,Maharashtra,18.99,75.756,2585000,254,37.0,60.1,77.2,43.9,0.4,40.0,68.4,73.4,31.6,0.634,17.2,31.7,51.3,80.0,0.98,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Osmanabad,Maharashtra,18.178,76.042,1657000,198,34.0,63.7,80.6,45.5,0.36,36.0,71.2,76.2,28.8,0.6676,16.9,27.9,47.9,73.2,1.1,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Latur,Maharashtra,18.407,76.56,2454000,292,44.0,67.9,87.5,54.6,0.32,32.0,75.3,80.3,24.7,0.7088,13.4,25.7,48.0,74.5,1.03,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Nanded,Maharashtra,19.153,77.308,3361000,283,40.0,61.8,78.6,44.3,0.38,38.0,69.7,74.7,30.3,0.65,13.0,28.6,43.2,76.0,1.11,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Parbhani,Maharashtra,19.271,76.774,1836000,271,39.0,59.4,78.1,40.0,0.41,41.0,67.2,72.2,32.8,0.6244,14.1,29.9,44.4,77.1,1.12,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Hingoli,Maharashtra,19.717,77.149,1177000,204,31.0,55.6,70.6,43.9,0.44,44.0,63.8,68.8,36.2,0.5896,16.4,27.1,50.7,77.6,1.14,High,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Buldhana,Maharashtra,20.529,76.184,2586000,282,38.0,63.2,81.2,46.8,0.37,37.0,71.0,76.0,29.0,0.6628,13.2,25.8,44.8,74.2,1.12,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Akola,Maharashtra,20.709,77.007,1814000,290,56.0,71.4,87.4,58.4,0.29,29.0,78.1,83.1,21.9,0.74,13.2,27.0,40.6,78.7,1.04,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Washim,Maharashtra,20.113,77.133,1197000,215,34.0,60.8,80.6,49.3,0.39,39.0,68.9,73.9,31.1,0.6408,11.9,29.6,50.2,74.4,1.09,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Amravati,Maharashtra,20.932,77.75,2888000,208,55.0,72.6,92.6,56.8,0.27,27.0,79.3,84.3,20.7,0.7536,9.9,30.2,44.1,78.9,1.14,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Yavatmal,Maharashtra,20.389,78.133,2776000,236,38.0,61.1,81.1,50.8,0.39,39.0,69.2,74.2,30.8,0.6432,15.4,28.5,47.1,78.2,1.18,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Wardha,Maharashtra,20.745,78.599,1300000,189,41.0,73.9,94.8,60.6,0.26,26.0,81.2,86.2,18.8,0.7684,10.9,26.0,49.1,83.2,1.09,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Nagpur,Maharashtra,21.149,79.088,4653000,289,72.0,83.7,99.0,68.6,0.16,16.0,90.1,95.1,9.9,0.8632,11.6,20.2,44.8,81.1,1.11,Low,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Bhandara,Maharashtra,21.167,79.65,1199000,198,34.0,71.2,90.2,59.3,0.29,29.0,78.8,83.8,21.2,0.742,13.7,25.4,45.5,78.1,1.11,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Gondia,Maharashtra,21.45,80.2,1323000,183,32.0,67.4,86.1,48.0,0.33,33.0,75.1,80.1,24.9,0.704,15.9,28.5,45.6,78.4,1.17,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Chandrapur,Maharashtra,19.952,79.296,2194000,163,43.0,68.9,84.6,58.0,0.31,31.0,76.4,81.4,23.6,0.7192,11.2,29.3,46.5,81.7,1.04,Medium,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
Gadchiroli,Maharashtra,19.75,80.0,970000,75,21.0,48.3,68.2,34.8,0.52,52.0,59.7,64.7,40.3,0.528,19.0,32.8,53.4,74.7,0.98,High,"NFHS-5 (2019-21), IIPS Mumbai",2019-21
